route_long_name,latitude,longitude
Kempegowda Bus Station - Gubbalala,,
BANASHANKARI TTMC - Chikkanahalli,,
Devanahalli - Yelahanaka NES Office,,
Krishnarajendra Market - Gudipalya,,
Kempegowda Bus Station - Vaddarapalya,,
Krishnarajendra Market - Honnalagana Doddi,,
Kempegowda Bus Station - BCC Layout,,
New Devanahalli - Hosakote Bus Stand,,
Krishnarajendra Market - Bidadi,,
Krishnarajendra Market - Kattalepalya,,
Devanahalli - Kempegowda Bus Station,13.19913905,77.70806099
Krishnarajendra Market - Chudahalli,,
Vidyaranyapura - Nandini Layout,,
Krishnarajendra Market - Vaderahalli,,
Kempalingana pura - Krishnarajendra Market,,
Kempegowda Bus Station - Somanahalli,,
MCTC Bus Stand - Kempegowda Bus Station,,
Krishnarajendra Market - Baichapura,,
Krishnarajendra Market - Karenahalli,,
Krishnarajendra Market - Vijayanagar,,
Uganawadi - Krishnarajendra Market,,
Krishnarajendra Market - Naganayakanahalli,,
New Devanahalli - Jayanagara 4th Block,,
Krishnarajendra Market - Kodipalya,,
Kempegowda Bus Station - Kaggalipura,,
Rajanukunte - Central Silk Board,,
Yelahanka - Kundana Devanahalli,,
Krishnarajendra Market - Mukkodlu,,
Kempegowda Bus Station - Chikkalasandra Ramanjaneya Layout,,
Shanthinagar TTMC - Kengeri KSRTC Regional Workshop,,
Vidyaranyapura 6th Block - Vidyaniketan School,,
Kengeri TTMC - Nelamangala,,
Krishnarajendra Market - White Field Post Office,,
Krishnarajendra Market - Hagadoor,,
Krishnarajendra Market - Vinayakanagar,,
Krishnarajendra Market - Vajramuneshwara Temple,,
Krishnarajendra Market - NAGAGONDANAHALLI,,
Shivajinagar Bus Station - Chikkallasandra Bus Stand,,
Kempegowda Bus Station - Vasanthapura,,
Banashankari Bus Station - Banashankari Bus Station,,
Kempegowda Bus Station - Kumaraswamy Layout,,
Banashankari Bus Station - Banashankari Bus Station,,
Kempegowda Bus Station - Kariyana Palya,,
Kempegowda Bus Station - Chandranagara,,
Kempegowda Bus Station - Poornapragna Layout,,
Sulthan Palya - Banashankari Bus Station,,
Sulthan Palya - Kempegowda Bus Station,,
Chandra Layout - Manorayana Palya,,
Banashankari Bus Station - Kengeri TTMC,,
Sulthan Palya - Shivajinagar Bus Station,,
Shivajinagar Bus Station - Royale Concorde School,,
Yeshwanthpur TTMC - Yeshwanthpura,,
Vinayaka Nagara - Kempegowda Bus Station,,
Kempegowda Bus Station - Thimmegowdana Palya,,
Kempegowda Bus Station - Tataguni,,
Amarajyothi Badavane - Central Silk Board,,
Kempegowda Bus Station - Agara,,
Krishnarajendra Market - Nagegowdana Palya,,
Krishnarajendra Market - Narayanapura,,
Vidyanikethan Public School - Yeshwanthpur TTMC,,
MEI Colony - JFWTC-ITPL,,
Kempegowda Bus Station - Harohalli,,
Krishnarajendra Market - OB Choodahalli,,
"Kempegowda Bus Station - Judicial Layout,8th main,TalagattaPura",,
Jalahalli Cross - Jalahalli Cross,13.0502833,77.525675
Krishnarajendra Market - Anchipura Colony,,
Krishnarajendra Market - Muthurayapura,,
Krishnarajendra Market - TAYAPPANA DODDI,,
Krishnarajendra Market - Sadanapalya,,
Krishnarajendra Market - Allalasandra,,
Krishnarajendra Market - Hosa Doddi,,
Kempegowda Bus Station - Nettigere,,
Krishnarajendra Market - Betta Halli Kaval,,
Krishnarajendra Market - Gundanjaneya Swamy Temple,,
Krishnarajendra Market - Bokipura,,
Krishnarajendra Market - Thokathimmanadoddi,,
Krishnarajendra Market - Kempaiahanapalya,,
Krishnarajendra Market - New Gabadi,,
Krishnarajendra Market - Bannigiri,,
Kempapura Agrahara - Krishnarajendra Market,,
Oasis School - Yeshwanthpur TTMC,,
Krishnarajendra Market - Nettigere,,
Krishnarajendra Market - Hosakote Bus Stand,,
Krishnarajendra Market - Kagalahalli,,
Krishnarajendra Market - Nawkal palya,,
Krishnarajendra Market - Kadugodi Bapuji circle,,
Shivajinagar Bus Station - Aero Space HAL,,
Kempegowda Bus Station - Hosakote Bus Stand,,
MCTC Bus Stand - YPR RMC,,
Krishnarajendra Market - Veerasandra,,
Krishnarajendra Market - Harohalli,,
Kempegowda Bus Station - Harohalli,,
Krishnarajendra Market - Girigowdana Doddi,,
Shivajinagar Bus Station - Tattaguppe,,
Krishnarajendra Market - Taralu ESTATE,,
Kempegowda Bus Station - Mukkodlu,,
