route_long_name,latitude,longitude
Kempegowda Bus Station - Maranayakanahalli,,
HP Software Mahadevapura - Nagarabhavi Maruthinagara,,
Kempegowda Bus Station - Kodagalahatti,,
Kempegowda Bus Station - Gundanjaneya Swamy Temple,,
Kempegowda Bus Station - Billamaranahalli,,
Shivajinagar Bus Station - Kolipura Uttanahalli,,
Shivajinagar Bus Station - Kolipura Uttanahalli,,
Hunnigere - Kempegowda Bus Station,,
Krishnarajendra Market - Meesaganahalli,,
Krishnarajendra Market - Razak Palya,,
CV Raman Nagara - Adithi School,,
Krishnarajendra Market - Hosahalli,,
Summanahalli - Kaval Byrasandra,,
Kamalanagar BEML layout - BEML,12.9926916,77.5304167
IAF - Hampinagara RPC Layout,,
Kempegowda Bus Station - BTM Layout Bus Stop,,
Yelahanka - Pillekamma Nagara,,
Yelahanka - Hosakote Bus Stand,,
Yelahanka - Hosakote Bus Stand,,
Hebbal - Kengeri TTMC,,
Infosys - Attibele,,
Krishnarajendra Market - Hoovinayakanahalli,,
BEML Layout 5th Stage - Devasandra Chikkamaranahalli,,
Yelahanka - Hosakote Bus Stand,,
Krishnarajendra Market - Krishnarajendra Market,12.9599061,77.5774884
BHEL Layout - Yelahanka,,
Srinagara - Mallesh Palya New Bus Stand,,
Krishnarajendra Market - Chokkanahalli,,
Krishnarajendra Market - Doddipalya,,
Srinivasa Pura - Yelahanka,,
HUNASOORU - YELAHANKA,,
Globale Academy Bangarappa Nagara - Yelahanka,,
Hosakote Bus Stand - YELAHANKA,,
Kempegowda Bus Station - Kashinagara,,
BEML Layout 5th Stage - Yeshwanthpura TTMC,,
MVJ Medical Hospital - YELAHANKA,,
Vijayanagara - Electronic City Wipro Gate,,
Krishnarajendra Market - Kadayarappanahalli,,
Beguru - Kempegowda Bus Station,,
Bagmane Teck Park - Tin Factory,,
Kempegowda Bus Station - Karubele,,
Yelahanka - Bagaluru,13.14034815,77.67126897
Jaibheemanagara - City Railway Station,,
Krishnarajendra Market - Kadayarppanhalli,,
Krishnarajendra Market - Varahasandra,,
Depot 10 - NGEF,,
Nandhini Layout Bus Station - Krishnarajendra Market,,
BEML Layout 5th Stage - Kempegowda Bus Station,,
Virabhadranagara Cross - Kempegowda Bus Station,,
Kempegowda Bus Station - Thindlu,,
Muneshwara nagara Kerekodi - Kempegowda Bus Station,,
Kempegowda Bus Station - Kodigehalli Canara Bank Colony,,
BEML Layout 5th Stage - Yeshwanathapura new railway station,,
Kempegowda Bus Station - Sahakara Nagar Cauvery School,,
BHEL Layout Maramma Temple - Krishnarajendra Market,,
Banashankari 3rd Stage 2nd Phase - Kempegowda Bus Station,,
Shivajinagar Bus Station - Vidyaranyapura,,
Kariyana Palya - Krishnarajendra Market,,
Kempegowda Bus Station - Kodigehalli Yelahanka road,,
Kengeri TTMC - Bangarappa Nagara,,
Krishnarajendra Market - Kodigehalli Yelahanka road,,
Shakthi Hill Resorts - Kempegowda Bus Station,,
Hosakerahalli village - Kempegowda Bus Station,,
Krishnarajendra Market - Thindlu,,
Bangarappa Nagara - Kempegowda Bus Station,,
Vivekanada Nagara - Kempegowda Bus Station,,
Javaregowda Nagara - Kempegowda Bus Station,,
BEML Layout 5th Stage - Kempegowda Bus Station,,
Dattatraya Nagara Temple - Krishnarajendra Market,,
Mukambika Nagar - Krishnarajendra Market,,
SHANTHI NAGAR BUS STAND - SHANTHI NAGAR BUS STAND,,
Haridasa Nagara - Kempegowda Bus Station,,
Kempegowda Bus Station - Vidyaranyapura,,
Pramod Layout - Kempegowda Bus Station,,
BEML Layout 5th Stage - Halasur,,
Vidya peeta Circle - Kempegowda Bus Station,,
BMT14 - BEML,,
Bangarappa Nagara - Krishnarajendra Market,,
Krishnappa Layout - Kempegowda Bus Station,,
Kempegowda Bus Station - Chikkakammanahalli,,
Adithi School - Allalasandra Gate Yalahanka,,
BCC Layout - Kempapura,,
Krishnarajendra Market - DASARAHALLI,,
Shivajinagar Bus Station - Boopa Sandra,,
Shivajinagar Bus Station - Tata Nagara,,
BGS Health City - Krishnarajendra Market,,
HAL Main Gate - Jn of Swamy Vivekananda Road,,
Shivajinagar Bus Station - Kodigehalli Yelahanka road,,
BEML Layout 5th Stage - Jayanagara 9th Block,,
BEML Layout 5th Stage - Kempegowda Bus Station,,
BHEL Concrode Layout - Kempegowda Bus Station,,
Nallur - Hosakote Bus Stand,,
Krishnarajendra Market - Amarjyothi Nagara,,
Hoysala Circle Kengeri Satellite Town - Shivajinagar Bus Station,,
Kempegowda Bus Station - Kadugodi,,
Hebbala - Shivajinagar Bus Station,,
Krishnarajendra Market - Kengeri Satelite Town,,
Kempegowda Bus Station - Lal Bahadur Shastri Nagara,,
Krishnarajendra Market - Vishwanatha Nagenahalli,,
Upadyaya Badavane - Kempegowda Bus Station,,
Kamalanagar BEML layout - Kadugodi,,
Krishnarajendra Market - Kempapura,,
HAL Main Gate - Kadugodi,,
Kempegowda Bus Station - Mantanakurchi,,
Shivajinagar Bus Station - Chamundi Nagara,,
Krishnarajendra Market - Cholanayakanahalli,,
Krishnarajendra Market - Ashwath Nagara,,
Krishnarajendra Market - Veerannapalya,,
Krishnarajendra Market - Bisanahalli,,
Kempegowda Bus Station - Coffee Board Layout,,
Shirke KHB Quarters - Kempegowda Bus Station,,
Kempegowda Bus Station - Vishwanatha Nagenahalli,,
Banashankari Bus Station - Tavare Kere Magadi Road,,
Mahalakshmi Layout - Kadugodi,,
Banashankari Bus Station - Rajarajeshwarinagara Gate,,
Kengeri Satelite Town - Kadugodi,,
Kempegowda Bus Station - Veerannapalya,,
Shirke KHB Quarters - Shivajinagar Bus Station,,
Shivajinagar Bus Station - Veerannapalya,,
Byadarahalli - Kadugodi,,
Shivajinagar Bus Station - Vishwanatha Nagenahalli,,
Central Silk Board - Kadugodi,,
Konanakunte New Bank colony Kanakapura Road - Hebbala,,
RTO Vishweshwaraiah Layout - Kadugodi,,
Shivajinagar Bus Station - Chamundi Nagara,,
BEML Layout 5th Stage - Kadugodi,,
Jnana bharthi layout - Kempegowda Bus Station,,
Police Traning Center - Yeshwanthpur TTMC,,
JC Nagara Police Station - Oasis School,,
Krishnarajendra Market - Dibburu,,
Krishnarajendra Market - Basvanagara Bus Station,,
Kengeri Satelite Town - Kempegowda Bus Station,,
Kempegowda Bus Station - Kadugodi,,
Krishnarajendra Market - AECS Layout,,
Krishnarajendra Market - Lal Bahadur Shastri Nagara,,
Krishnarajendra Market - Doddabasthi,,
Bhuvaneshwari Nagara Mahalakshmi Temple - Kempegowda Bus Station,,
Banashankari Bus Station - Hebbala,,
Krishnarajendra Market - Chokkanahalli,,
Bhuvaneshwari Nagara Mahalakshmi Temple - Krishnarajendra Market,,
Krishnarajendra Market - Jakkur Layout,,
Sulikere - Krishnarajendra Market,,
AGS Layout - Kempegowda Bus Station,,
Kodigehalli Yelahanka road - Razak Palya,,
Ramasandra - Krishnarajendra Market,,
Banashankari 3rd Stage 3rd Phase - Krishnarajendra Market,,
Kempegowda Bus Station - Jakkur,,
Dhananayakanahalli - Krishnarajendra Market,,
Chennamma kere Achukattu - Kempegowda Bus Station,,
Bagaluru Cross - Outer Ring Road Company Association,,
KNarayanapura - Kempegowda Bus Station,,
Doddabasthi - Krishnarajendra Market,,
Chennamma kere Achukattu - Kempegowda Bus Station,,
Krishnarajendra Market - Venkateshwara Nagara,,
Doddabasthi - Central Silk Board,,
Krishnarajendra Market - Srirampura,,
Kempegowda Bus Station - Chennamma kere Achukattu,,
Vishweshwaraiah Layout 1st Block - Krishnarajendra Market,,
Chennamma kere Achukattu - City Railway Station,,
Hebbala - Navarang Talkies,,
Krishnarajendra Market - Jnana Jyothi Nagara 2nd Phase,,
Shivajinagar Bus Station - Jakkur Layout,,
Dattatraya Nagara Temple - Kempegowda Bus Station,,
Upkar Residency Layout - Kempegowda Bus Station,,
Krishnarajendra Market - Upkar Residency Layout,,
Krishnarajendra Market - Chellahalli,,
Krishnarajendra Market - Bettanahalli,,
Krishnarajendra Market - Mallipalya,,
MS Palya - Out Door Clothing Company,,
Shivajinagar Bus Station - Sonnenahalli,,
Budamanahalli - Krishnarajendra Market,,
Krishnarajendra Market - Seetha Kempanahalli,,
Krishnarajendra Market - Kempapura,,
Krishnarajendra Market - Suradenapura Yelahanka Road,,
Krishnarajendra Market - Ganagaluru,,
MCTC Bus Stand - UNITEX,,
Krishnarajendra Market - Dibbur,,
Doddabasthi - Shivajinagar Bus Station,,
Mallathahalli - Shivajinagar Bus Station,,
Kempegowda Bus Station - Kempapura,,
Krishnarajendra Market - Thippuru,,
Kempegowda Bus Station - AECS Layout,,
Krishnarajendra Market - Kenchanapalya,,
Chikka Kuntanahalli - Krishnarajendra Market,,
Parasanapalya - Krishnarajendra Market,,
Dodda Kuntanahalli - Krishnarajendra Market,,
Krishnarajendra Market - Thittahalli,,
Shivajinagar Bus Station - Kadugodi,,
Krishnarajendra Market - Thippagondanahalli Quarters,,
Avarehalli - Krishnarajendra Market,,
Sugganahalli - Krishnarajendra Market,,
MUKTHINAGA TEMPLE CROSS - Krishnarajendra Market,,
Soundarya Layout - Kempegowda Bus Station,,
Kempegowda Bus Station - Maratahalli Bridge,,
Kempegowda Bus Station - Boganahalli,,
Kempegowda Bus Station - ITPL,,
Meenakshi Layout - Kempegowda Bus Station,,
Shanthinagar TTMC - Globale Academy Bangarappa Nagara,,
Kempegowda Bus Station - Basavanagara Bus Stand,,
Chandra Layout - Kadugodi,,
Kempegowda Bus Station - Ambedkar Nagara,,
Dodda Kuntanahalli - Kempegowda Bus Station,,
Kempegowda Bus Station - HAL Main Gate,,
AMD Private Limited - Jayadeva Signal,,
Kempegowda Bus Station - Munnekolalu,,
Kempegowda Bus Station - Nallurahalli,,
Thippuru - Kempegowda Bus Station,,
Kempegowda Bus Station - Doddanekkundi,,
Kempegowda Bus Station - Kadugodi,,
Gurukula School Tharahunise - Krishnarajendra Market,,
Kempegowda Bus Station - Srinivasapura,,
Kempegowda Bus Station - Chinnappanahalli,,
Bidadi - Kempegowda Bus Station,,
Kempegowda Bus Station - Basvanagara Bus Station,,
Krishnarajendra Market - BNagasandra,,
Kempegowda Bus Station - BNagasandra,,
Vidhana Soudha - Jai Bhuvaneshwari Nagara,,
Kaggalipura - Krishnarajendra Market,,
Gaviyana Palya - Krishnarajendra Market,,
Chikkabettahalli - Shivajinagar Bus Station,,
DEPOT-25 HSR Layout - KR Market,,
Karekall kunigal Road - BEL Circle,,
Nagarabhavi BDA Complex - ITPL,,
Talaghattapura Police Station - Manyatha Embasy Business Park,,
Central Silk Board - Wilson Garden Police Station,,
Shivajinagar Bus Station - Marasandra Bagalur,,
Kempegowda Bus Station - Kumaraswamy Layout West,,
Domlur - Hosakote Bus Stand,,
Kempegowda Bus Station - Varthuru,,
Kaval Byrasandra - St Joseph High Scholl,,
Kempegowda Bus Station - Hampapura,,
City Civil Court - City Civil Court,12.9756035,77.586462
Thimmappana Palya - Krishnarajendra Market,,
Krishnarajendra Market - Hampapura,,
Channegowdana Doddi - Krishnarajendra Market,,
Kengeri Satelite Town - BEML,12.9230351,77.49596307
Vajara Halli - Krishnarajendra Market,,
Shivajinagar Bus Station - Balagere,,
Kempegowda Bus Station - V Kallahalli Sarjapura Road,,
Bidadi - Kempegowda Bus Station,,
Karenahalli - Krishnarajendra Market,,
Bidadi - Kempegowda Bus Station,,
Parasanapalya - Krishnarajendra Market,,
Shivajinagar Bus Station - BM English School Bellahalli,,
Anchipura Colony - Krishnarajendra Market,,
Krishnarajendra Market - Talaguppe,,
Kenchanaguppe - Krishnarajendra Market,,
DEPOT-30 - Yelahanka Satelite Town 5th Phase,,
Bidadi - Krishnarajendra Market,,
Bidadi - Shivajinagar Bus Station,,
Bidadi - Banashankari Bus Station,,
Shivajinagar Bus Station - Vaidehi Hospital,,
Shivajinagar Bus Station - Kadugodi,,
Thimmappana Palya - Kempegowda Bus Station,,
Shanumangala - Krishnarajendra Market,,
Hakki Pikki Colony - Krishnarajendra Market,,
Krishnarajendra Market - Bidadi,,
Shivajinagar Bus Station - Belathuru,,
Krishnarajendra Market - Tavare Kere,,
Krishnarajendra Market - Mayasandra,,
Chikkanahalli - Krishnarajendra Market,,
Huluvenahalli - Krishnarajendra Market,,
Uddandalli - Krishnarajendra Market,,
Beemanakuppe - Krishnarajendra Market,,
Krishnarajendra Market - Katammana Doddi,,
Kempegowda Bus Station - HSR Layout 2nd Sector,,
Thoredoddi - Krishnarajendra Market,,
Bidadi - Hullalu,,
Doddamaranahalli - Krishnarajendra Market,,
Byalalu Janatha Colony - Krishnarajendra Market,,
Kempegowda Bus Station - Parangipalya,,
Krishnarajendra Market - Hunnigere,,
Hagalahalli - Krishnarajendra Market,,
Manchanabele - Krishnarajendra Market,,
Kempegowda Bus Station - K R Puram,,
Krishnarajendra Market - Gollahalli,,
CK Thandya - Krishnarajendra Market,,
Malligondanahalli - Krishnarajendra Market,,
Krishnarajendra Market - Subbarayappana Palya,,
Krishnarajendra Market - Kurubarapalya,,
Krishnarajendra Market - Magadi,,
Kempegowda Bus Station - Thurahalli,,
Krishnarajendra Market - Punugumaranahalli,,
Basammanahalli - Krishnarajendra Market,,
Alammana Palya - Krishnarajendra Market,,
RTNagara - Shivajinagar Bus Station,,
Bellandur Coffee Day - Adithi School,,
Sarjapura Bus Stand - Central Silk Board,,
Kempegowda Bus Station - Yarappanahalli,,
Krishnarajendra Market - Sampigehalli,,
Kempegowda Bus Station - Mitaganahalli,,
Kempegowda Bus Station - Upkar Residency Layout,,
Dayananda Sagar College - Maratahalli Bridge,,
GKW Layout - Ganga Nagara,,
Kempegowda Bus Station - BSF,,
Kempegowda Bus Station - Chikkalasandra Ramanjaneya Layout,,
BCC Layout - Kaval Byrasandra,,
Hampinagara RPC Layout - Ganga Nagara,,
MCTC Bus Stand - Kaval Byrasandra,,
Kengeri TTMC - Bannerghatta Circle,,
Bannerughatta Circle - Kumbalagodu,,
Chandra Layout - Sulthan Palya,,
Bidadi - Girigowdana Doddi,,
HAL-LCA - CMH Road,,
Bidadi Main Bus Stand - KADUJAKKASANDRA,,
Kengeri TTMC - Gullahatti Kaval,,
Kaggalipura - Kaggalipura,12.8089587,77.50970064
Kempegowda Bus Station - Bande Kodigehalli,,
Kempegowda Bus Station - Mylanahalli,,
Yelahanka Satellite Town - BEL Office,,
Kempegowda Bus Station - IAF,,
Bramha Devara Gudda - Vidhana Soudha,,
Kempegowda Bus Station - Sarjapura Bus Stand,,
Shivajinagar Bus Station - Dodda Kannalli,,
Shivajinagar Bus Station - Devarabisanahalli,,
Krishnarajendra Market - Agrahara Layout,,
DAYANANDA SAGAR COLLEGE - Central Silk Board,,
Shivajinagar Bus Station - Doddanekkundi,,
Shivajinagar Bus Station - Lal Bahadur Shastri Nagara,,
Shivajinagar Bus Station - AECS Layout,,
Shivajinagar Bus Station - Basvanagara Bus Station,,
Yelahanka - Hosakote Bus Stand,,
Shivajinagar Bus Station - Ashwath Nagara,,
Nagarabhavi Circle - Vidyanikethan Public School,,
Krishnarajendra Market - Maruthi Nagara Kannur Road,,
Shivajinagar Bus Station - Munnekolalu,,
Krishnarajendra Market - Kannuru,,
Golden Enclave - Adithi School,,
Manyatha Tech Park - Kadugodi,,
Kempegowda Bus Station - Beguru,,
Karenahalli - Krishnarajendra Market,,
Karekall kunigal Road - Kempegowda Bus Station,,
Ganga Nagara - Krishnarajendra Market,,
Rajkumar Samadhi - Out Door Clothing Company,,
India Garrage Lower Agrram Road - Outer Ring Road Company Association,,
Depot 22 - ISRO Quarters,,
Nandhini Layout Bus Station - Koramangala,,
Kempegowda Bus Station - Rajani Farm,,
Depot-25-BS - Kempegowda Bus Station,,
Bommasandra - Bagmane Teck Park,,
Koramangala - Bidadi,,
Shirke Bus Stand - JFWTC-ITPL,,
Koramangala - Chowdeshwari Bus Stand JP Park,,
Kempegowda Bus Station - BANASHANKARI TTMC,,
Kempegowda Bus Station - Venkatagirikote,,
Kempegowda Bus Station - HSR Layout 2nd Sector,,
Depot-13 BS - Summanahalli Signal,,
Jayanagara 9th Block - Banashankari 3rd Stage 2nd Phase,,
Kempegowda Swimming Pool - Kempegowda Bus Station,,
Srinagara - Kempegowda Bus Station,,
Hosakerahalli village - Kempegowda Bus Station,,
Hosakerahalli village - Shivajinagar Bus Station,,
Kempegowda Bus Station - Maratahalli,,
Srinagar - Shivajinagar Bus Station,,
Kempegowda Bus Station - Sai Baba Hospital,,
NRColony - Domlur,,
Jalli Machine - BMT14,,
Global Village - ITPL,,
Kempegowda Bus Station - Sri Vidyanagara,,
KR Market - MEI Layout,,
Avalahalli BDA Park - Chowdeshwari Bus Stand JP Park,,
Gandhi Bazaar - Malleshwaram 18th Cross,,
Kempegowda Bus Station - Depot-13-BS,,
Kempegowda Bus Station - HSR Layout 2nd Sector,,
JP Nagara 3rd Phase - Hosakerahalli village,,
BTM Layout - Banashankari 3rd Stage 2nd Phase,,
JPNagara 6th Phase - Srinagara,,
Coffee Board Layout - Chandra Layout,,
Kempegowda Bus Station - Kadugodi,,
RBI Layout - ITPL,,
JP Nagara 1st Phase - Kempegowda Bus Station,,
Byrasandra - Kempegowda Bus Station,,
JP Nagara 3rd Phase - Yeshawanthapura TTMC,,
BTM Layout - Krishnarajendra Market,,
BTM Layout - Majestic,,
Byrasandra - Kempegowda Bus Station,,
BTM Layout South - Shivajinagar Bus Station,,
Kempu Dommasandra - Chandapura,,
JPNagara 6th Phase - Shivajinagar Bus Station,,
Lingadeeranahalli - Krishnarajendra Market,,
JP Nagara 1st Phase - Krishnarajendra Market,,
Chikkabanavara - Vinayakanagara Cross D-43,,
NRColony - Shivajinagar Bus Station,,
NRColony - Kempegowda Bus Station,,
Eliyas Nagar - Kempegowda Bus Station,,
JPNagara 6th Phase - Kempegowda Bus Station,,
JPNagara 6th Phase - City Railway Station,,
Banashankari Bus Station - ITPL,,
Krishnarajendra Market - TChuddadenahalli,,
Shivajinagar Bus Station - Srinagara,,
Kempegowda Bus Station - Kempegowda Bus Station,12.9781298,77.57220606
Jayanagara 9th Block - Kempegowda Bus Station,,
Banashankari BDA Complex - Krishnarajendra Market,,
BANASHANKARI TTMC - Shivajinagar Bus Station,,
Yeshawanthapura TTMC - Yeshwanthpur TTMC,,
Meenakshi Layout - Krishnarajendra Market,,
BANASHANKARI TTMC - Shivajinagar Bus Station,,
Kodigehalli gate - Cristal House School,,
Malleshwaram 18th Cross - Banashankari Bus Station,,
BANASHANKARI TTMC - Krishnarajendra Market,,
Kempegowda Bus Station - Hosakote Bus Stand,,
BANASHANKARI TTMC - Kempegowda Bus Station,,
Byrasandra - Krishnarajendra Market,,
Kempegowda Bus Station - Koramangala Kendriya Sadan,,
Jayanagara 9th Block - Shivajinagar Bus Station,,
HAL Main Gate - Devanagundi,,
Kempegowda Bus Station - Sarjapura Bus Stand,,
BTM Layout - Krishnarajendra Market,,
JPNagara 6th Phase - Chowdeshwari Bus Stand JP Park,,
Srinagara - C V Ramanagra,,
Shivajinagar Bus Station - JP Nagar 6th Phase,,
Kempegowda Bus Station - Kuvempunagar,,
Depot-13-BS - Kenchanapura Cross,,
Mathikere - Banashankari Bus Station,,
Kudhurgere Madhanayakanahalli - Kempegowda Bus Station,,
Esteem Mall - Central Silk Board,,
Madanayakanahalli - Kadabagere gate,,
Kempegowda Bus Station - Raghavendra Badavane,,
Kempegowda Bus Station - Beguru,,
Kempegowda Bus Station - Vidyaranyapura,,
Avalahalli BDA Park - Koramangala,,
Yeshwanthpur TTMC - Yeshwanthpur TTMC,,
Mahalakshmi Layout - Krishnarajendra Market,,
BAGMANE TECH PARK - Banashankari Bus Station,,
Sidedahalli - Mind Tree Global Villiage,,
Adithi School - IAF,,
Kempegowda Bus Station - MICO Layout,,
Kannamangala - Krishnarajendra Market,,
JPNagara 6th Phase - Jeevan Bhimanagara Bus stand,,
Sulthan Palya - Vidyaniketan School,,
JPNagara 6th Phase - Domlur,,
Contonment Railway Station - Marathahalli Bridge,,
BANASHANKARI TTMC - Jeevan Bhimanagara Bus stand,,
Jalahalli Cross - Bagaluru,,
Kempegowda Bus Station - Madapatna,,
Devanahalli - Yeshawanthapura TTMC,,
Jayanagara Bus Stand - Jayanagara Bus Stand,,
Kottige Palya Magadi Road - Kempegowda Bus Station,,
Kempegowda Bus Station - Kempegowda Bus Station,12.9781298,77.57220606
Bandi Reddy Circle - Krishnarajendra Market,,
Mahalakshmi Layout - Kempegowda Bus Station,,
Kammasandra - Kempegowda Bus Station,,
KHB Colony - Kempegowda Bus Station,,
Krishnarajendra Market - Byramangala,,
Thara Hunise - Peenya 2nd stage,,
Hampinagara RPC Layout - Kempegowda Bus Station,,
Yelahanka - Kengeri TTMC,,
Laggere Bridge - Krishnarajendra Market,,
Yelahanka - Bande Maramma Bus Station,,
KHB Colony - Shivajinagar Bus Station,,
Bagmane Teck Park - BTM Layout Bus Stop,,
Hebbala Bridge - Nerige,,
Kamalanagara BEML Layout - Shivajinagar Bus Station,,
Devanahalli - Peenya 2nd stage,,
Kempegowda Bus Station - Devanahalli,13.19913905,77.70806099
Depot 13 - Sarakki Signal B S,,
Depot 26 - Kurubarahalli,,
Vijayanagara - ITPL,,
Yelahanka - Basaveshwara Nagara,,
Depot 4 - NRColony,,
Kempegowda Bus Station - Yelahanka Satelite Town 5th Phase,,
Yelahanka - Chikkallasandra Bus Stand,,
BTM Layout - Kadugodi,,
BMTC Depot-6 - DRDO 2ND Phase,,
Bagaluru - Jalahalli Cross,,
Rajaji Nagara Ramamandira - Shivajinagar Bus Station,,
Iskcon Temple - Krishnarajendra Market,,
Vijayanagara TTMC - Krishnarajendra Market,,
Yeshwanathapura new railway station - Yelahanka,,
Timber Yard Layout - Kempegowda Bus Station,,
Jagajeevanram Nagara - Kempegowda Bus Station,,
BEML - Vijayanagara,,
Hampinagara RPC Layout - Shivajinagar Bus Station,,
KHB Colony - Krishnarajendra Market,,
Jalahalli Village - Krishnarajendra Market,,
Gollarahatti - ITPL,,
BCC Layout - Shivajinagar Bus Station,,
Gangamma Circle - Jalahalli Cross,,
Kempegowda Bus Station - Vijayanagara TTMC,,
Sarjapura Bus Stand - Outer Ring Road Company Association,,
Brudavana Nagara Jinke vana - Kempegowda Bus Station,,
Kempegowda Bus Station - ITI Circle,,
Chennamma kere Achukattu - Krishnarajendra Market,,
Banashankari 3rd Stage 2nd Phase - RTNagara,,
Padmanabha Nagara Rock - Yeshwanathapura new railway station,,
Koramangala - Kempegowda Bus Station,,
JFWTC - Chandapura,,
HAL Main Gate - K Dommasandra,,
Uttarahalli - Tin Factory,,
Raghavendra Colony TR Mill - Yeshwanthpura,,
KSIT COLLEGE - Kempegowda Bus Station,,
Veerabhadranagar - Manyatha Embasy Business Park,,
Vinayaka Nagara - Krishnarajendra Market,,
Brundavananagara Jinke Park - Shivajinagar Bus Station,,
Depot-13-BS - Poornapragna Layout,,
Kuvempu Nagara 2nd Stage - Peenya 2nd stage,,
Kengeri TTMC - Yelahanka,,
BMTC Depot-12 Gate Kengeri - BEML,,
JPNagara 6th Phase - Boopa Sandra,,
BANASHANKARI TTMC - Yeshwanthpura,,
Central Silk Board - Depot 6,,
Kengeri TTMC - Yelahanka,,
Vaderahalli - Vinayakanagara Cross D-43,,
Doddabasti - Yeshwanthpur TTMC,,
Adarsha Nagara - Kempegowda Bus Station,,
Mallathahalli - Hebbala,,
Kengeri TTMC - Devasandra Chikkamaranahalli,,
Kengeri TTMC - RMV 2nd Stage,,
Kempegowda Bus Station - Mandooru,,
Tore Hosahalli - Kempegowda Bus Station,,
Virabhadranagara Cross - Shivajinagar Bus Station,,
Motaganahalli - Krishnarajendra Market,,
HAL Main Gate - Tin Factory,,
Hebbala - Jalahalli Cross Ayyappa Temple,,
Kempegowda Bus Station - Hosakote Bus Stand,,
BMT-23 - Pottery Town,,
Jeevan Bhimanagara Bus stand - Nagashettyhalli,,
Shivajinagar Bus Station - Tata Nagara,,
Chikkabanavara - White Field TTMC,,
Manyatha Embasy Business Park - Deo Hights Layout Arch,,
Kala Mandir Marathalli - St John High School,,
Krishnarajendra Market - Maruthi Markandayanagara,,
Shivajinagar Bus Station - Patelappa Layout,,
Kaval Byrasandra - Kamalanagar BEML layout,,
Banashankari Bus Station - ITPL,,
Shivajinagar Bus Station - Boopa Sandra,,
Kempegowda Bus Station - Tata Nagara,,
Lakshmipura MS Palya - Yeshwanthpur TTMC,,
Brudavana Nagara Jinke vana - Brudavana Nagara Jinke vana,,
Krishnarajendra Market - Boopa Sandra,,
Kempegowda Bus Station - Kempegowda Bus Station,12.9781298,77.57220606
Kempegowda Bus Station - Thotada Guddadahalli,,
Kamalanagar BEML layout - Shivajinagar Bus Station,,
Kempegowda Bus Station - Halasuru Laxmipura Road,,
Srinagara - Yeshwanthpura Railway Station,,
Kempegowda Bus Station - Kommagatta,,
Baleveerana Halli - Krishnarajendra Market,,
Bagmane Teck Park - Gottigere,,
Kempegowda Bus Station - Patelappa Layout,,
Kempegowda Bus Station - Boopa Sandra,,
Chikkallasandra Bus Stand - Boopa Sandra,,
Krishnarajendra Market - Kamalanagar BEML layout,,
Basaveshwara Nagara - Kempegowda Bus Station,,
Kempegowda Bus Station - Boopa Sandra,,
Kurubarahalli - Kempegowda Bus Station,,
Bidadi Bus Stand - Electronics City,,
Yelahanka Satellite Town - Yelahanka Satelite Town 5th Phase,,
Nelamangala - Bilijaji,,
Kodegehalli Sigehalli Bus Stand - Kempegowda Bus Station,,
Kalyananagara Bus Stand - Central Silk Board,,
Central Silk Board - Old Bayappanahalli,,
Thambuchetty Palya - Mangammana Palya,,
Srinivasapura - Kadugodi,,
Hebbala - Sambram College MS Palya,,
Domlur - ITI Gate,,
Peenya 2nd stage - Sri Ayyapa Educational Center,,
Yeshwanthpura - Razak Palya,,
BMTC Depot-12 Gate Kengeri - Summanahalli,,
Yeshwanthpura - Bande Kodigehalli,,
Patalamma Temple Uthrahalli - KM SCHOOL,,
Kadabagere - Kempegowda Bus Station,,
Chennamma kere Achukattu - Kempegowda Bus Station,,
Deepanjalinagara Depot-16 - Vidyaniketan School,,
Kempegowda Bus Station - Depot-13-BS,,
Malleshwaram Bus Station - Kengeri TTMC,,
Shivajinagar Bus Station - Budigere,,
Vidhana Soudha - Attibele,,
Karnataka High Court - Sulthan Palya,,
Yeshwanthpur TTMC - BEL Office,,
Ramasandra - Yelahanka,,
Kempegowda Bus Station - Suryanagar,,
Kempegowda Bus Station - Kadugodi,,
Hebbala - Manyatha Embasy Business Park,,
Kempegowda Garden - Kempegowda Bus Station,,
Kengeri TTMC - Devasandra,,
Kengeri TTMC - Yeshwanthpura,,
Krishnarajendra Market - Walker Land Long Fora Road,,
Vinayakanagara Cross D-43 - BMT-43,,
Kempegowda Bus Station - MEI Colony,,
HAL Main Gate - Electronic City,,
Tin Factory - Jayamangala,,
Kamalanagar BEML layout - Summanahalli Magadi Road,,
Depot 11 - Bagaluru Cross,,
Depot-41 - Ganjoor,,
Hosakote Bus Stand - Maratahalli,,
Bittasandra - Krishnarajendra Market,,
Peenya 2nd stage - Electronic City Wipro Gate,,
Krishnarajendra Market - Munnekolalu,,
Kempegowda Bus Station - Chikkabegur,,
Hebbala - Dr Ambedkar Institute Of Technology,,
Krishnarajendra Market - Chikkabegur,,
Kempegowda Bus Station - Kudlu,,
Kempegowda Bus Station - Somasundarapalya,,
Krishnarajendra Market - Somasundarapalya,,
Krishnarajendra Market - Balgere,,
Kempegowda Bus Station - DODDANAGAMANGALA,,
Bommawara - Yelahanka Old Town,,
Kempegowda Bus Station - Maratahalli Bridge,,
Shivajinagar Bus Station - Maratahalli Bridge,,
Shivajinagar Bus Station - Kadugodi,,
Depot-13-BS - Avalahalli Nandi Garden,,
Krishnarajendra Market - Panathuru,,
